comprimento,largura,especie
2.254,1.236,0
1.721,0.957,0
1.917,0.997,0
2.118,1.037,0
2.072,0.909,0
1.493,0.651,0
4.346,2.531,1
2.156,0.872,0
2.190,1.116,0
5.167,2.439,1
4.737,2.381,1
2.190,1.050,0
4.766,2.276,1
4.758,2.249,1
4.929,2.058,1
4.396,2.136,1
4.802,2.744,1
1.561,1.166,0
1.915,1.004,0
5.036,1.940,1
4.820,2.484,1
4.710,2.094,1
5.320,2.123,1
5.433,2.316,1
5.557,2.184,1
1.664,1.195,0
1.823,1.029,0
2.478,1.124,0
2.004,1.199,0
5.287,2.306,1
5.413,1.953,1
4.945,2.404,1
2.564,0.665,0
2.097,1.130,0
1.602,1.025,0
2.313,1.005,0
1.321,0.800,0
4.586,2.173,1
5.606,2.343,1
5.378,1.946,1
1.887,1.055,0
5.104,2.228,1
2.143,1.155,0
2.172,1.000,0
1.955,1.034,0
4.872,2.125,1
1.836,1.156,0
2.551,0.487,0
1.874,1.009,0
1.871,1.131,0
5.034,2.237,1
4.834,2.180,1
5.362,2.241,1
5.303,1.966,1
1.879,1.090,0
4.490,2.129,1
2.092,1.360,0
5.327,1.910,1
4.986,2.057,1
4.955,2.238,1
1.957,1.152,0
5.315,2.141,1
5.745,2.163,1
2.040,1.141,0
2.119,1.268,0
5.184,2.007,1
5.039,2.120,1
5.442,2.012,1
4.814,2.217,1
4.733,2.512,1
4.759,2.323,1
4.971,2.079,1
2.379,1.353,0
5.341,2.497,1
4.847,2.045,1
5.035,2.225,1
4.784,2.002,1
4.444,2.364,1
5.055,2.348,1
2.024,1.265,0
1.861,1.052,0
4.798,2.376,1
5.258,2.082,1
4.630,2.197,1
5.321,2.225,1
2.537,1.009,0
1.524,1.053,0
4.833,2.415,1
5.030,2.107,1
5.002,2.361,1
